Start Time:  15-04-2026 12:24:02          Time Completed:  15-04-2026 13:46:24      Elapsed Time:  01:22:22
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Marcos\MvsH_Marcos.exp
Data File:     C:\IDEASVSM\LS_QC\NF(1X)C260409a.txt
Plot File:     C:\IDEASVSM\LS_QC\NF(1X)C260409a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Marcos\MvsH_Marcos.stp
VSM Data File: C:\IDEASVSM\LS_QC\NF(1X)C260409a.dat

***DATA***

Field(G)	 Moment(emu)	
 19921.7 	 0.137993 	
 19000 	 0.137738 	
 18000 	 0.137517 	
 17000 	 0.137321 	
 16000 	 0.137119 	
 14999.9 	 0.137005 	
 14000 	 0.136902 	
 13000 	 0.136788 	
 12000 	 0.136655 	
 11000.1 	 0.136539 	
 9999.24 	 0.136439 	
 9800.04 	 0.136374 	
 9599.99 	 0.136353 	
 9399.9 	 0.136314 	
 9199.96 	 0.136267 	
 9000.02 	 0.136233 	
 8800 	 0.136214 	
 8600 	 0.136187 	
 8399.99 	 0.136161 	
 8199.99 	 0.136127 	
 7999.99 	 0.136094 	
 7800 	 0.136065 	
 7599.98 	 0.13603 	
 7400 	 0.135986 	
 7199.97 	 0.135962 	
 7000.03 	 0.135922 	
 6799.96 	 0.135898 	
 6599.97 	 0.135861 	
 6400.04 	 0.135836 	
 6199.99 	 0.135803 	
 6000.04 	 0.135766 	
 5799.93 	 0.135748 	
 5700.03 	 0.135734 	
 5599.94 	 0.135729 	
 5499.99 	 0.135713 	
 5399.94 	 0.135684 	
 5300.05 	 0.135677 	
 5200.05 	 0.135661 	
 5100.03 	 0.135643 	
 4999.99 	 0.135624 	
 4900.01 	 0.135574 	
 4800.01 	 0.13551 	
 4700 	 0.135458 	
 4599.95 	 0.135413 	
 4500.01 	 0.135363 	
 4399.92 	 0.135314 	
 4300.01 	 0.135258 	
 4199.98 	 0.135198 	
 4099.97 	 0.13513 	
 3999.99 	 0.135062 	
 3899.99 	 0.134994 	
 3800.01 	 0.134865 	
 3700.02 	 0.134761 	
 3600.04 	 0.134666 	
 3500.14 	 0.134576 	
 3399.97 	 0.134487 	
 3300 	 0.134376 	
 3200.01 	 0.134295 	
 3099.99 	 0.134175 	
 3000.01 	 0.134066 	
 2899.98 	 0.13395 	
 2799.98 	 0.133827 	
 2700.01 	 0.13369 	
 2600 	 0.133551 	
 2499.99 	 0.133402 	
 2399.99 	 0.133235 	
 2300 	 0.133064 	
 2200.01 	 0.132885 	
 2100 	 0.1327 	
 2000 	 0.132496 	
 1900.02 	 0.132265 	
 1799.96 	 0.132021 	
 1700 	 0.131759 	
 1600 	 0.13146 	
 1500 	 0.131137 	
 1400.01 	 0.130772 	
 1299.99 	 0.130357 	
 1199.99 	 0.129907 	
 1099.99 	 0.12938 	
 999.996 	 0.128785 	
 949.997 	 0.128456 	
 899.997 	 0.128101 	
 849.993 	 0.127725 	
 799.99 	 0.127301 	
 749.99 	 0.12682 	
 700.002 	 0.126346 	
 649.996 	 0.125808 	
 599.987 	 0.125205 	
 549.993 	 0.124543 	
 499.983 	 0.123816 	
 449.99 	 0.122968 	
 400.005 	 0.122008 	
 349.987 	 0.120894 	
 300.009 	 0.119585 	
 250.007 	 0.118028 	
 200.006 	 0.116098 	
 179.999 	 0.115061 	
 160.001 	 0.113946 	
 140.001 	 0.112698 	
 120.003 	 0.111208 	
 100.004 	 0.109223 	
 79.9919 	 0.107163 	
 59.9931 	 0.10394 	
 39.9992 	 0.0982271 	
 19.994 	 0.0809078 	
 0.00464052 	 0.00191461 	
-20.0032 	-0.034984 	
-39.9992 	-0.0611954 	
-59.9996 	-0.0707565 	
-79.9962 	-0.077312 	
-100.006 	-0.0822875 	
-120 	-0.0868926 	
-140.002 	-0.0916892 	
-159.988 	-0.0960645 	
-180.003 	-0.0996474 	
-200.004 	-0.102484 	
-249.989 	-0.108038 	
-300 	-0.11189 	
-350.014 	-0.114848 	
-399.997 	-0.117132 	
-450.004 	-0.118927 	
-500.001 	-0.12067 	
-549.994 	-0.121659 	
-600.002 	-0.122575 	
-650.001 	-0.123402 	
-700.002 	-0.12414 	
-750.011 	-0.1248 	
-799.997 	-0.125391 	
-850.003 	-0.12591 	
-900.003 	-0.126395 	
-950 	-0.126827 	
-1000 	-0.127234 	
-1100 	-0.127911 	
-1200 	-0.128503 	
-1300 	-0.129031 	
-1400 	-0.129509 	
-1500.01 	-0.129897 	
-1600.01 	-0.130269 	
-1700.01 	-0.13058 	
-1800.01 	-0.130878 	
-1900 	-0.131134 	
-2000 	-0.131382 	
-2100 	-0.131575 	
-2200.01 	-0.131803 	
-2300.01 	-0.131964 	
-2400.01 	-0.132127 	
-2500.01 	-0.132274 	
-2600.01 	-0.13242 	
-2700 	-0.132546 	
-2800 	-0.132668 	
-2900 	-0.132792 	
-3000 	-0.132896 	
-3100.01 	-0.133005 	
-3200.02 	-0.133112 	
-3300.01 	-0.133218 	
-3400.01 	-0.133294 	
-3500 	-0.133395 	
-3600.01 	-0.133473 	
-3700.01 	-0.133566 	
-3799.99 	-0.133653 	
-3900.03 	-0.133749 	
-4000.03 	-0.13381 	
-4100 	-0.133882 	
-4199.99 	-0.133967 	
-4300 	-0.134046 	
-4399.98 	-0.134131 	
-4500.01 	-0.13417 	
-4600.01 	-0.134231 	
-4700.01 	-0.134309 	
-4800.02 	-0.13438 	
-4900.01 	-0.134434 	
-4999.99 	-0.134547 	
-5100.01 	-0.134549 	
-5199.99 	-0.134576 	
-5300.01 	-0.134598 	
-5399.99 	-0.134615 	
-5500.01 	-0.134621 	
-5600.01 	-0.134635 	
-5700.01 	-0.134668 	
-5800.01 	-0.134689 	
-5999.99 	-0.134701 	
-6199.99 	-0.134732 	
-6400.01 	-0.134769 	
-6600.01 	-0.134801 	
-6800.03 	-0.13482 	
-7000 	-0.134831 	
-7200 	-0.134865 	
-7400.01 	-0.13489 	
-7600.03 	-0.134925 	
-7800.01 	-0.134956 	
-8000.02 	-0.134976 	
-8200.01 	-0.135015 	
-8400 	-0.135049 	
-8599.99 	-0.135094 	
-8800 	-0.135123 	
-9000 	-0.135157 	
-9200.01 	-0.135175 	
-9399.99 	-0.135216 	
-9600 	-0.135239 	
-9800.02 	-0.135286 	
-10000 	-0.135307 	
-11000 	-0.13541 	
-12000 	-0.1355 	
-13000 	-0.135582 	
-14000 	-0.135686 	
-15000 	-0.135832 	
-16000 	-0.136008 	
-17000 	-0.136493 	
-18000 	-0.136819 	
-19000 	-0.13741 	
-19911.3 	-0.137982 	
-19000 	-0.13772 	
-18000 	-0.137458 	
-17000 	-0.137235 	
-16000 	-0.137078 	
-15000 	-0.136919 	
-14000 	-0.136792 	
-13000 	-0.136653 	
-12000 	-0.136509 	
-11000 	-0.136367 	
-10000 	-0.136207 	
-9800.01 	-0.136144 	
-9599.98 	-0.136121 	
-9400.01 	-0.136073 	
-9200.01 	-0.136022 	
-8999.98 	-0.135975 	
-8799.98 	-0.135933 	
-8600 	-0.135901 	
-8400.02 	-0.135857 	
-8200 	-0.135821 	
-8000.01 	-0.135779 	
-7800 	-0.135748 	
-7599.98 	-0.13572 	
-7400 	-0.135684 	
-7200.02 	-0.135652 	
-6999.98 	-0.135622 	
-6799.99 	-0.135592 	
-6600 	-0.135574 	
-6400 	-0.135549 	
-6200 	-0.135532 	
-6000 	-0.13551 	
-5800 	-0.135513 	
-5700.01 	-0.135504 	
-5599.98 	-0.1355 	
-5500.01 	-0.135501 	
-5400.01 	-0.135499 	
-5299.98 	-0.135499 	
-5200.01 	-0.135492 	
-5099.99 	-0.135487 	
-4999.99 	-0.135474 	
-4899.99 	-0.13543 	
-4800 	-0.13539 	
-4699.99 	-0.135338 	
-4600 	-0.135294 	
-4499.99 	-0.135244 	
-4400.01 	-0.135197 	
-4300 	-0.13514 	
-4200 	-0.135076 	
-4099.99 	-0.135027 	
-4000 	-0.134974 	
-3900.03 	-0.134905 	
-3800 	-0.134823 	
-3699.99 	-0.134759 	
-3600 	-0.134681 	
-3499.82 	-0.134611 	
-3400.01 	-0.134509 	
-3300 	-0.134429 	
-3200 	-0.134334 	
-3099.99 	-0.134256 	
-3000 	-0.134148 	
-2900 	-0.134055 	
-2800 	-0.133944 	
-2700 	-0.133831 	
-2600 	-0.133714 	
-2500 	-0.13358 	
-2400 	-0.133452 	
-2299.99 	-0.133313 	
-2199.99 	-0.133148 	
-2099.99 	-0.132977 	
-2000 	-0.132794 	
-1900 	-0.132593 	
-1799.99 	-0.132385 	
-1699.99 	-0.132145 	
-1600.01 	-0.131882 	
-1500 	-0.131595 	
-1400 	-0.131262 	
-1299.99 	-0.130882 	
-1200.01 	-0.130461 	
-1100 	-0.129986 	
-1000 	-0.129439 	
-949.993 	-0.129102 	
-900.003 	-0.128745 	
-849.993 	-0.128394 	
-800.001 	-0.128004 	
-750.001 	-0.127572 	
-699.999 	-0.127026 	
-649.994 	-0.126519 	
-599.996 	-0.125954 	
-549.987 	-0.125341 	
-499.994 	-0.124633 	
-449.995 	-0.123842 	
-399.996 	-0.12294 	
-350.003 	-0.121872 	
-299.999 	-0.12063 	
-250.004 	-0.119143 	
-199.992 	-0.11727 	
-179.993 	-0.116248 	
-160.004 	-0.115146 	
-140.002 	-0.113887 	
-120.005 	-0.112436 	
-99.9952 	-0.110226 	
-80.0093 	-0.107829 	
-59.994 	-0.104659 	
-39.9987 	-0.0988051 	
-20.0027 	-0.0814643 	
 0.000476291 	-0.00331815 	
 19.9946 	 0.0327778 	
 40.0094 	 0.0607943 	
 60.0001 	 0.071826 	
 80.0017 	 0.0788857 	
 99.9965 	 0.0838048 	
 119.999 	 0.0882291 	
 140.01 	 0.0927752 	
 159.997 	 0.0971218 	
 180.005 	 0.100709 	
 200.002 	 0.103537 	
 250.005 	 0.10889 	
 300.005 	 0.112651 	
 350.001 	 0.115518 	
 399.999 	 0.117731 	
 450.004 	 0.119446 	
 500.007 	 0.120843 	
 549.998 	 0.121982 	
 600.002 	 0.122964 	
 650.003 	 0.123794 	
 699.998 	 0.124516 	
 749.992 	 0.125143 	
 800.004 	 0.125684 	
 850.007 	 0.12619 	
 899.999 	 0.126654 	
 949.999 	 0.127074 	
 1000 	 0.127452 	
 1100 	 0.12811 	
 1200.01 	 0.128669 	
 1300.01 	 0.129192 	
 1400 	 0.129634 	
 1500 	 0.130045 	
 1600 	 0.130462 	
 1700 	 0.130782 	
 1800 	 0.131051 	
 1900.01 	 0.131296 	
 2000.01 	 0.131529 	
 2100 	 0.131723 	
 2200 	 0.131924 	
 2300 	 0.132118 	
 2400 	 0.132274 	
 2500 	 0.132425 	
 2600 	 0.132583 	
 2700 	 0.132723 	
 2800.01 	 0.13282 	
 2900 	 0.132915 	
 2999.99 	 0.13301 	
 3099.99 	 0.133107 	
 3199.99 	 0.133199 	
 3300.01 	 0.133302 	
 3399.99 	 0.133367 	
 3500.01 	 0.133449 	
 3599.98 	 0.133511 	
 3700.01 	 0.133575 	
 3800 	 0.133636 	
 3900.02 	 0.133701 	
 3999.98 	 0.133779 	
 4100 	 0.133844 	
 4199.99 	 0.133909 	
 4300.01 	 0.133963 	
 4400.01 	 0.134013 	
 4499.99 	 0.134065 	
 4600 	 0.134109 	
 4700 	 0.134145 	
 4799.99 	 0.134192 	
 4900 	 0.134247 	
 5000.01 	 0.134288 	
 5100.03 	 0.134295 	
 5199.99 	 0.134296 	
 5300 	 0.134298 	
 5400 	 0.13429 	
 5500.01 	 0.134308 	
 5600 	 0.134323 	
 5700 	 0.134313 	
 5800.01 	 0.134325 	
 5999.98 	 0.134326 	
 6200.01 	 0.134363 	
 6400 	 0.134396 	
 6599.98 	 0.134441 	
 6800.01 	 0.134476 	
 6999.99 	 0.134498 	
 7199.98 	 0.134547 	
 7400.02 	 0.134582 	
 7600 	 0.134616 	
 7799.99 	 0.134672 	
 8000 	 0.134687 	
 8200 	 0.134737 	
 8400.02 	 0.13478 	
 8600.02 	 0.134827 	
 8800.02 	 0.134884 	
 8999.99 	 0.134952 	
 9200 	 0.134981 	
 9399.99 	 0.13503 	
 9600.03 	 0.135062 	
 9799.99 	 0.13509 	
 9999.97 	 0.135115 	
 11000 	 0.135232 	
 12000 	 0.135321 	
 13000 	 0.135454 	
 14000 	 0.135645 	
 15000 	 0.135851 	
 16000 	 0.136069 	
 17000 	 0.136524 	
 18000 	 0.136823 	
 19000 	 0.137328 	
 19925.4 	 0.13801 	

	
	
